"CODE","NAME","ANTIGEN_DESCRIPTION","vax1_coverage","vax2_coverage"
"LKA","Sri Lanka","Measles-containing vaccine, 1st dose",99,98
"SDN","Sudan","Measles-containing vaccine, 1st dose",46,36
"SUR","Suriname","Measles-containing vaccine, 1st dose",73,52
"SWE","Sweden","Measles-containing vaccine, 1st dose",93,92
"CHE","Switzerland","Measles-containing vaccine, 1st dose",96,93
"SYR","Syrian Arab Republic","Measles-containing vaccine, 1st dose",81,75
"TJK","Tajikistan","Measles-containing vaccine, 1st dose",98,97
"THA","Thailand","Measles-containing vaccine, 1st dose",93,87
"TLS","Timor-Leste","Measles-containing vaccine, 1st dose",72,72
"TGO","Togo","Measles-containing vaccine, 1st dose",81,69
"TON","Tonga","Measles-containing vaccine, 1st dose",99,99
"TTO","Trinidad and Tobago","Measles-containing vaccine, 1st dose",96,89
"TUN","Tunisia","Measles-containing vaccine, 1st dose",96,97
"TUR","Türkiye","Measles-containing vaccine, 1st dose",95,94
"TKM","Turkmenistan","Measles-containing vaccine, 1st dose",99,99
"TUV","Tuvalu","Measles-containing vaccine, 1st dose",97,91
"UGA","Uganda","Measles-containing vaccine, 1st dose",90,50
"UKR","Ukraine","Measles-containing vaccine, 1st dose",91,83
"ARE","United Arab Emirates","Measles-containing vaccine, 1st dose",98,92
"GBR","United Kingdom of Great Britain and Northern Ireland","Measles-containing vaccine, 1st dose",89,85
"TZA","United Republic of Tanzania","Measles-containing vaccine, 1st dose",84,74
"USA","United States of America","Measles-containing vaccine, 1st dose",92,95
"URY","Uruguay","Measles-containing vaccine, 1st dose",97,95
"UZB","Uzbekistan","Measles-containing vaccine, 1st dose",99,99
"VUT","Vanuatu","Measles-containing vaccine, 1st dose",61,53
"VEN","Venezuela (Bolivarian Republic of)","Measles-containing vaccine, 1st dose",71,51
"VNM","Viet Nam","Measles-containing vaccine, 1st dose",98,95
"YEM","Yemen","Measles-containing vaccine, 1st dose",41,40
"ZMB","Zambia","Measles-containing vaccine, 1st dose",88,77
"ZWE","Zimbabwe","Measles-containing vaccine, 1st dose",90,78
